女装,男装,内衣,女鞋,运动鞋,箱包,家居,彩妆,食品,数码,网游,3C配件,MP3,影音,书籍,装潢,鲜花
5,1,4,2,0,4,1,4,4,0,0,0,0,0,1,0,0
1,5,1,2,4,2,4,3,4,4,1,2,0,4,4,4,0
4,1,5,4,0,4,1,4,4,0,0,0,0,0,0,0,0
2,2,4,5,1,2,1,4,4,0,0,0,0,0,1,0,0
0,4,0,1,5,0,4,0,4,4,4,3,3,4,4,4,3
4,2,4,2,0,5,0,4,4,0,0,0,0,0,0,0,0
1,4,1,1,4,0,5,1,1,4,0,0,0,4,4,4,0
4,3,4,4,0,4,1,5,4,0,0,0,0,0,1,0,0
4,4,4,4,4,4,1,4,5,4,4,0,0,0,1,0,0
0,4,0,0,4,0,4,0,4,5,4,2,2,3,4,4,1
0,1,0,0,4,0,0,0,4,4,5,4,4,4,0,0,4
0,2,0,0,3,0,0,0,0,2,4,5,4,3,0,0,4
0,0,0,0,3,0,0,0,0,2,4,4,5,3,0,0,4
0,4,0,0,4,0,4,0,0,3,4,3,3,5,4,4,3
1,4,0,1,4,0,4,1,1,4,0,0,0,4,5,4,0
0,4,0,0,4,0,4,0,0,4,0,0,0,4,4,5,0
0,0,0,0,3,0,0,0,0,1,4,4,4,3,0,0,5
