,2012-03-01,2012-03-02,2012-03-03,2012-03-04,2012-03-05,2012-03-06,2012-03-07,2012-03-08,2012-03-09,2012-03-10,2012-03-11,2012-03-12,2012-03-13,2012-03-14,2012-03-15,2012-03-16,2012-03-17,2012-03-18,2012-03-19,2012-03-20,2012-03-21,2012-03-22,2012-03-23,2012-03-24,2012-03-25,2012-03-26,2012-03-27,2012-03-28,2012-03-29,2012-03-30,2012-03-31,2012-04-01,2012-04-02,2012-04-03,2012-04-04,2012-04-05,2012-04-06,2012-04-07,2012-04-08,2012-04-09,2012-04-10,2012-04-11,2012-04-12,2012-04-13,2012-04-14,2012-04-15,2012-04-16,2012-04-17,2012-04-18,2012-04-19,2012-04-20,2012-04-21,2012-04-22,2012-04-23,2012-04-24,2012-04-25,2012-04-26,2012-04-27,2012-04-28,2012-04-29,2012-04-30,2012-05-01,2012-05-02,2012-05-03,2012-05-04,2012-05-05,2012-05-06,2012-05-07,2012-05-08,2012-05-09,2012-05-10,2012-05-11,2012-05-12,2012-05-13,2012-05-14,2012-05-15,2012-05-16,2012-05-17,2012-05-18,2012-05-19,2012-05-20,2012-05-21,2012-05-22,2012-05-23,2012-05-24,2012-05-25,2012-05-26,2012-05-27,2012-05-28,2012-05-29,2012-05-30,2012-05-31,2012-06-01
连衣裙,0.181743,0.180203,0.171697,0.166947,0.176466,0.185124,0.184543,0.190771,0.193678,0.176282,0.17507,0.181305,0.179763,0.184475,0.191219,0.186085,0.185221,0.178257,0.194564,0.194583,0.194207,0.195254,0.196989,0.195532,0.184677,0.196794,0.201129,0.204667,0.203562,0.21425,0.210031,0.209506,0.210548,0.210214,0.204012,0.21806,0.221495,0.216134,0.213362,0.224947,0.227189,0.234363,0.23882,0.241227,0.236267,0.234725,0.247388,0.245696,0.242658,0.251762,0.25529,0.250851,0.25129,0.269189,0.266607,0.273787,0.275803,0.285208,0.293933,0.289019,0.288508,0.290592,0.290008,0.292826,0.309461,0.299885,0.302575,0.305866,0.311974,0.314548,0.318095,0.331573,0.319488,0.320989,0.334904,0.324861,0.319906,0.335561,0.338403,0.336228,0.33638,0.342835,0.334132,0.326089,0.327865,0.330714,0.324485,0.329562,0.334721,0.33785,0.328084,0.337117,0.328978
T恤,0.069871,0.07043,0.072708,0.073774,0.074895,0.074521,0.074858,0.075461,0.071344,0.076452,0.075972,0.075534,0.076307,0.080403,0.082336,0.080462,0.087149,0.090914,0.089601,0.089078,0.090007,0.089383,0.087283,0.091956,0.098451,0.091745,0.098219,0.100312,0.102697,0.101108,0.105781,0.11089,0.116254,0.117482,0.120518,0.116375,0.116597,0.122819,0.126037,0.121292,0.12126,0.125834,0.123369,0.126138,0.136178,0.139224,0.127228,0.128488,0.130576,0.128848,0.127871,0.136948,0.144541,0.13749,0.134293,0.133488,0.134597,0.132235,0.137225,0.143031,0.142868,0.145452,0.14072,0.140265,0.136065,0.14718,0.150839,0.144489,0.137071,0.134487,0.1376,0.131178,0.139871,0.139947,0.134927,0.132272,0.131264,0.128689,0.130613,0.137487,0.138685,0.128279,0.131418,0.131811,0.127477,0.127492,0.133357,0.135334,0.127464,0.128958,0.129007,0.124432,0.125063
衬衫,0.075885,0.075771,0.075819,0.077678,0.077259,0.077374,0.074778,0.074319,0.074925,0.077953,0.080492,0.08028,0.079249,0.079354,0.080098,0.081218,0.085585,0.088041,0.083845,0.085176,0.087041,0.085085,0.085872,0.0866,0.089862,0.088292,0.088598,0.088084,0.087293,0.088904,0.086755,0.093552,0.091411,0.093362,0.090504,0.091471,0.08814,0.087622,0.089209,0.086882,0.091095,0.087173,0.085425,0.087171,0.083863,0.085992,0.081645,0.082458,0.078188,0.077896,0.080659,0.078792,0.080584,0.08029,0.080074,0.077071,0.077771,0.07907,0.082883,0.077516,0.074482,0.075746,0.072397,0.071676,0.068328,0.068788,0.066777,0.064352,0.068377,0.063121,0.06376,0.061408,0.062387,0.06321,0.062291,0.07218,0.064068,0.06332,0.061796,0.062446,0.06148,0.064966,0.065402,0.062591,0.064864,0.063698,0.063172,0.062332,0.062337,0.06351,0.064161,0.059767,0.063933
休闲裤,0.044333,0.047205,0.044734,0.045331,0.043431,0.048952,0.049272,0.046844,0.044088,0.045307,0.04558,0.047182,0.049418,0.047947,0.055196,0.051414,0.051525,0.05065,0.049502,0.054697,0.052814,0.050915,0.050775,0.050946,0.05319,0.05145,0.054337,0.054434,0.059022,0.054853,0.05773,0.056634,0.056052,0.054915,0.056406,0.056212,0.064109,0.05743,0.057916,0.055625,0.057359,0.057268,0.056896,0.05843,0.056126,0.055997,0.053155,0.055399,0.05754,0.05767,0.054079,0.055568,0.056988,0.052336,0.053219,0.052284,0.051496,0.052296,0.051411,0.049582,0.051055,0.051173,0.052319,0.051558,0.04766,0.047342,0.046544,0.04429,0.045414,0.044107,0.046878,0.045778,0.045776,0.047478,0.047895,0.051105,0.048094,0.047992,0.047414,0.047453,0.05063,0.051324,0.053152,0.054597,0.057163,0.057541,0.057133,0.059437,0.063045,0.063791,0.063346,0.068008,0.065122
牛仔裤,0.046959,0.051671,0.054653,0.054836,0.051871,0.049641,0.050671,0.04953,0.049724,0.052503,0.054931,0.050523,0.05221,0.052097,0.052421,0.053441,0.055707,0.056826,0.05045,0.051341,0.051628,0.053794,0.057881,0.058558,0.057918,0.052925,0.052708,0.061518,0.051598,0.050484,0.053351,0.052795,0.055094,0.055706,0.057565,0.053018,0.05145,0.054166,0.05693,0.056104,0.053609,0.050451,0.051923,0.053968,0.053789,0.054574,0.051825,0.05128,0.051882,0.049022,0.053388,0.052717,0.051979,0.046117,0.04592,0.047606,0.047869,0.043133,0.042689,0.045467,0.046547,0.04664,0.042724,0.043032,0.041818,0.041866,0.041655,0.03618,0.035682,0.034647,0.034777,0.041164,0.039121,0.038693,0.037652,0.036818,0.040025,0.036626,0.042946,0.040666,0.040889,0.037499,0.038633,0.040291,0.039003,0.038728,0.041561,0.04108,0.038486,0.037,0.039707,0.038321,0.044252
毛针织衫,0.061041,0.064073,0.059273,0.05779,0.061732,0.060739,0.0598,0.061207,0.059977,0.060602,0.056881,0.058404,0.062311,0.060795,0.058371,0.067287,0.057221,0.057141,0.060429,0.058901,0.056403,0.056281,0.056803,0.053637,0.057166,0.057807,0.056779,0.055413,0.054845,0.054107,0.052484,0.060478,0.049685,0.048404,0.050547,0.049422,0.051248,0.048935,0.049324,0.053218,0.05081,0.045745,0.046662,0.046093,0.044033,0.043656,0.051902,0.044402,0.045976,0.044601,0.044314,0.041754,0.039732,0.043691,0.042271,0.042747,0.038132,0.038182,0.036509,0.033049,0.033065,0.035009,0.035136,0.03455,0.031684,0.029558,0.027035,0.029724,0.029828,0.029111,0.029226,0.0277,0.027788,0.029045,0.033708,0.032145,0.03246,0.029863,0.02832,0.0272,0.027239,0.029567,0.031173,0.033707,0.034383,0.033087,0.031432,0.029642,0.031501,0.032334,0.030954,0.032496,0.032555
半身裙,0.029587,0.029452,0.028073,0.028936,0.030069,0.030835,0.031086,0.032471,0.029851,0.0288,0.028081,0.032049,0.03261,0.031533,0.030527,0.032883,0.030663,0.031712,0.03648,0.032902,0.032663,0.033593,0.031651,0.031556,0.030948,0.032526,0.037601,0.033281,0.034596,0.036215,0.034717,0.033338,0.03357,0.035042,0.034878,0.035381,0.036729,0.036803,0.03693,0.035638,0.03994,0.040205,0.038725,0.038095,0.039139,0.040538,0.0398,0.041147,0.041362,0.042618,0.041026,0.039502,0.041395,0.04829,0.046959,0.044363,0.043349,0.044664,0.044445,0.044355,0.044193,0.044292,0.045371,0.045065,0.04447,0.044944,0.046284,0.04463,0.044082,0.049041,0.044034,0.042455,0.043225,0.043176,0.043556,0.044512,0.047242,0.046771,0.045818,0.046369,0.045555,0.046278,0.04578,0.046907,0.047007,0.047341,0.045311,0.045357,0.046485,0.046934,0.044568,0.045958,0.046075
蕾丝衫/雪纺衫,0.021815,0.021362,0.022149,0.022269,0.022566,0.023133,0.02278,0.025748,0.022486,0.022453,0.022886,0.023855,0.024218,0.024463,0.024539,0.023862,0.024832,0.025192,0.026214,0.025978,0.028165,0.026966,0.026197,0.025984,0.027055,0.028283,0.029023,0.029488,0.029011,0.028584,0.030327,0.03006,0.031311,0.030895,0.032224,0.0333,0.031455,0.031697,0.031615,0.032231,0.032839,0.033791,0.035941,0.034832,0.034431,0.035749,0.034729,0.039535,0.042497,0.037878,0.037551,0.038534,0.040178,0.04205,0.040013,0.04234,0.04332,0.041334,0.041046,0.043285,0.043874,0.045334,0.043611,0.043204,0.042654,0.045509,0.045568,0.043529,0.044315,0.046397,0.045141,0.044996,0.046752,0.046853,0.044703,0.044748,0.053802,0.049716,0.053282,0.050336,0.049524,0.048179,0.048235,0.050252,0.04887,0.049316,0.050609,0.05121,0.050278,0.05126,0.053569,0.052121,0.052346
短外套,0.038056,0.035215,0.036786,0.038762,0.038804,0.036142,0.037165,0.037947,0.03764,0.039461,0.041578,0.039783,0.044563,0.042042,0.040373,0.043808,0.042999,0.044209,0.040561,0.042851,0.041682,0.040827,0.039392,0.042297,0.045872,0.044286,0.044119,0.0414,0.043017,0.040797,0.04906,0.042661,0.041475,0.041512,0.04215,0.04033,0.03872,0.039851,0.040822,0.038855,0.037599,0.035982,0.035322,0.034342,0.03554,0.036766,0.035439,0.036038,0.034832,0.035066,0.033508,0.033797,0.032292,0.031211,0.030175,0.029016,0.028501,0.029323,0.027304,0.02699,0.02758,0.027353,0.0276,0.026428,0.024386,0.022798,0.022375,0.022541,0.021898,0.021781,0.020721,0.020912,0.021699,0.021696,0.023937,0.022731,0.022605,0.02581,0.023815,0.022716,0.022887,0.025285,0.023528,0.024405,0.02596,0.025815,0.024667,0.025083,0.025499,0.023939,0.023918,0.024235,0.025597
西装,0.031162,0.029712,0.029729,0.030068,0.029303,0.029883,0.032649,0.031872,0.031677,0.033354,0.03392,0.033809,0.036745,0.039152,0.04063,0.039093,0.040234,0.042341,0.041089,0.039434,0.039929,0.041173,0.03872,0.040682,0.042468,0.042295,0.042512,0.043564,0.042327,0.042894,0.044607,0.043473,0.039187,0.038995,0.039884,0.038496,0.038045,0.039194,0.0397,0.039951,0.036352,0.034401,0.03591,0.035157,0.033788,0.033905,0.03288,0.033716,0.033761,0.033199,0.032667,0.031998,0.028177,0.023753,0.023562,0.025688,0.024542,0.023259,0.021349,0.019363,0.019216,0.018593,0.018609,0.016568,0.015021,0.013158,0.011687,0.010695,0.009943,0.009846,0.010602,0.010365,0.010698,0.010498,0.011236,0.012566,0.012277,0.010944,0.009893,0.009481,0.009761,0.009726,0.009932,0.01128,0.011855,0.012504,0.01081,0.010074,0.009822,0.009561,0.01048,0.010661,0.010894
